Journal ISO4 Abbreviation,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor
J Anesth,2010,4,171,9,0.010845987
J Anesth,2011,5,158,9,0.008576329
J Anesth,2012,8,147,9,0.013657056
J Anesth,2013,1,139,1,0.001315789
J Anesth,2014,5,138,8,0.006157635
J Anesth,2015,4,152,5,0.005025126
J Anim Ecol,2008,2,147,4,0.007434944
J Anim Ecol,2012,1,135,1,0.001754386
J Anim Ecol,2015,2,165,2,0.003610108
J Anim Physiol Anim Nutr (Berl),2002,8,37,30,0.1
J Anim Physiol Anim Nutr (Berl),2003,5,42,11,0.073684211
J Anim Physiol Anim Nutr (Berl),2004,6,41,18,0.06993007
J Anim Physiol Anim Nutr (Berl),2005,3,56,6,0.010471204
J Anim Physiol Anim Nutr (Berl),2006,4,59,4,0.01
J Anim Physiol Anim Nutr (Berl),2007,10,55,17,0.02293578
J Anim Physiol Anim Nutr (Berl),2008,7,79,11,0.021276596
J Anim Physiol Anim Nutr (Berl),2009,7,82,7,0.018248175
J Anim Physiol Anim Nutr (Berl),2010,8,128,11,0.009868421
J Anim Physiol Anim Nutr (Berl),2011,7,88,10,0.005291005
J Anim Physiol Anim Nutr (Berl),2012,8,119,10,0.019607843
J Anim Physiol Anim Nutr (Berl),2013,6,131,8,0.008928571
J Anim Physiol Anim Nutr (Berl),2014,2,137,2,0.002008032
J Anim Physiol Anim Nutr (Berl),2015,6,129,6,0.012
J Anim Sci Biotechnol,2014,1,55,1,0.010416667
J Anim Sci Biotechnol,2015,5,54,7,0.046052632
J Anxiety Disord,2001,2,35,13,0.012658228
J Anxiety Disord,2005,1,56,19,0.043478261
J Anxiety Disord,2008,1,145,1,0.003717472
J Anxiety Disord,2009,1,156,1,0.002762431
J Anxiety Disord,2010,1,131,1,0.002164502
J Anxiety Disord,2012,1,106,1,0.001694915
J Anxiety Disord,2013,1,96,1,0.001811594
J Anxiety Disord,2014,1,122,1,0.002020202
J Anxiety Disord,2015,1,113,1,0.002057613
J AOAC Int,1999,14,120,22,0.016985138
J AOAC Int,2000,22,159,52,0.002155172
J AOAC Int,2001,16,241,45,0.019417476
J AOAC Int,2002,22,174,46,0.01174743
J AOAC Int,2003,16,140,32,0.01285347
J AOAC Int,2004,17,166,26,0.018541409
J AOAC Int,2005,16,219,21,0.012224939
J AOAC Int,2006,14,190,17,0.010050251
J AOAC Int,2007,15,187,18,0.004920049
J AOAC Int,2008,14,175,24,0.015330189
J AOAC Int,2009,9,230,9,0.002358491
J AOAC Int,2010,13,223,32,0.009367681
J AOAC Int,2011,15,189,30,0.019230769
J AOAC Int,2012,10,217,25,0.01793722
J AOAC Int,2013,9,173,13,0.010729614
J AOAC Int,2014,10,219,13,0.010356732
J AOAC Int,2015,8,204,10,0.008158508
J Appl Behav Anal,2002,2,51,3,0.008888889
J Appl Behav Anal,2012,2,85,7,0.017142857
J Appl Biomater Biomech,2010,3,19,3,0.010526316
J Appl Biomater Biomech,2011,2,23,4,0.020618557
J Appl Biomater Funct Mater,2013,2,22,3,0.068181818
J Appl Biomater Funct Mater,2014,1,36,1,0.014705882
J Appl Biomech,2005,2,31,18,1.5
J Appl Biomech,2007,3,31,4,0.014925373
J Appl Biomech,2008,2,43,2,0.01
J Appl Biomech,2009,2,43,3,0.013888889
J Appl Biomech,2011,2,47,3,0.005319149
J Appl Biomech,2012,4,84,9,0.039408867
J Appl Biomech,2013,3,102,8,0.008130081
J Appl Biomech,2014,3,98,4,0.009803922
J Appl Clin Med Phys,2007,7,31,13,0.029585799
J Appl Clin Med Phys,2008,9,42,14,0.043209877
J Appl Clin Med Phys,2009,13,62,20,0.054054054
J Appl Clin Med Phys,2010,14,93,29,0.068807339
J Appl Clin Med Phys,2011,6,75,14,0.014134276
J Appl Clin Med Phys,2012,11,116,20,0.042553191
J Appl Clin Med Phys,2013,15,125,17,0.036855037
J Appl Clin Med Phys,2014,5,192,6,0.010526316
J Appl Clin Med Phys,2015,7,215,7,0.008802817
J Appl Crystallogr,2005,1,0,1,0.333333333
J Appl Crystallogr,2007,4,4,151,5.25
J Appl Crystallogr,2008,2,10,24,0.363636364
J Appl Crystallogr,2009,5,10,10,0.045454545
J Appl Crystallogr,2010,1,14,5,0.083333333
J Appl Crystallogr,2012,2,8,5,0.039215686
J Appl Crystallogr,2013,3,45,7,0.081632653
J Appl Crystallogr,2014,1,29,1,0.012195122
J Appl Crystallogr,2015,4,53,6,0.040816327
J Appl Dev Psychol,2008,1,6,1,0.090909091
J Appl Ecol,2013,1,6,1,0.071428571
J Appl Gerontol,2008,1,4,1,1
J Appl Gerontol,2015,1,58,1,0.008547009
J Appl Mech,2014,1,1,1,0.142857143
J Appl Oral Sci,2009,5,123,7,0.005649718
J Appl Oral Sci,2010,2,101,3,0.002457002
J Appl Oral Sci,2011,7,102,10,0.007194245
J Appl Oral Sci,2012,6,98,6,0.006944444
J Appl Oral Sci,2013,1,90,1,0.002188184
J Appl Oral Sci,2014,2,75,2,0.004784689
J Appl Oral Sci,2015,1,79,1,0.002544529
J Appl Phys,2007,2,0,6,1
J Appl Phys,2008,6,6,53,4.333333333
J Appl Phys,2009,15,9,126,4.111111111
J Appl Phys,2010,16,7,115,1.404761905
J Appl Phys,2011,9,11,41,0.426229508
J Appl Phys,2012,16,15,88,0.64556962
J Appl Phys,2013,9,13,46,0.336734694
J Appl Phys,2014,12,8,113,0.375
J Appl Phys,2015,9,5,23,0.075268817
J Appl Polym Sci,2012,1,0,3,1
J Appl Polym Sci,2013,2,0,15,4
J Appl Polym Sci,2014,2,3,10,1.6
J Appl Polym Sci,2015,3,2,6,0.444444444
J Appl Psychol,1999,1,21,2,0.00990099
J Appl Psychol,2007,1,135,3,0.00255102
J Appl Psychol,2009,1,112,1,0.002178649
J Appl Psychol,2011,1,92,1,0.002257336
J Appl Psychol,2012,1,86,1,0.0025
J Appl Res Intellect Disabil,2013,1,49,1,0.017241379
J Appl Res Intellect Disabil,2014,1,40,1,0.009009009
J Appl Toxicol,1999,17,62,42,0.025179856
J Appl Toxicol,2000,15,79,30,0.024734982
J Appl Toxicol,2001,12,78,31,0.016722408
J Appl Toxicol,2003,10,44,19,0.00623053
J Appl Toxicol,2004,15,51,24,0.02020202
J Appl Toxicol,2005,6,64,13,0.03649635
J Appl Toxicol,2006,8,61,9,0.015748031
J Appl Toxicol,2007,6,67,41,0.022556391
J Appl Toxicol,2008,9,109,11,0.024475524
J Appl Toxicol,2009,6,84,10,0.015060241
J Appl Toxicol,2010,7,85,12,0.014204545
J Appl Toxicol,2011,11,78,16,0.013333333
J Appl Toxicol,2012,9,96,11,0.020460358
J Appl Toxicol,2013,6,162,7,0.013157895
J Appl Toxicol,2014,6,143,9,0.017467249
J Appl Toxicol,2015,12,149,24,0.015533981
J Arthroplasty,1999,29,138,142,0.020900322
J Arthroplasty,2000,15,153,34,0.0078125
J Arthroplasty,2001,23,183,66,0.031397174
J Arthroplasty,2002,18,202,67,0.015625
J Arthroplasty,2003,13,220,45,0.021992238
J Arthroplasty,2004,22,222,35,0.015384615
J Arthroplasty,2005,19,201,94,0.03887689
J Arthroplasty,2006,18,233,38,0.021164021
J Arthroplasty,2007,13,257,37,0.010224949
J Arthroplasty,2008,11,238,13,0.003933137
J Arthroplasty,2009,11,246,19,0.008763389
J Arthroplasty,2010,16,269,61,0.020676692
J Arthroplasty,2011,9,316,22,0.00631769
J Arthroplasty,2012,6,359,9,0.00341006
J Arthroplasty,2013,7,409,8,0.003881988
J Arthroplasty,2014,5,520,5,0.00275672
J Arthroplasty,2015,6,473,7,0.004084014
J Artif Organs,2009,5,39,7,0.01242236
J Artif Organs,2010,3,40,5,0.024539877
J Artif Organs,2011,7,49,15,0.05952381
J Artif Organs,2012,2,59,4,0.021857923
J Artif Organs,2013,1,70,2,0.009708738
J Artif Organs,2014,2,56,2,0.008583691
J Artif Organs,2015,3,58,3,0.008064516
J Asian Nat Prod Res,2000,6,26,9,0.136363636
J Asian Nat Prod Res,2001,6,41,12,0.039473684
J Asian Nat Prod Res,2002,9,40,9,0.008130081
J Asian Nat Prod Res,2003,2,44,6,0.01863354
J Asian Nat Prod Res,2004,4,42,4,0.011494253
J Asian Nat Prod Res,2005,9,79,14,0.005319149
J Asian Nat Prod Res,2006,12,106,16,0.004366812
J Asian Nat Prod Res,2007,19,95,25,0.006711409
J Asian Nat Prod Res,2008,27,154,31,0.027322404
J Asian Nat Prod Res,2009,21,141,25,0.021956088
J Asian Nat Prod Res,2010,17,141,24,0.022608696
J Asian Nat Prod Res,2011,14,142,19,0.017886179
J Asian Nat Prod Res,2012,17,158,22,0.01978691
J Asian Nat Prod Res,2013,16,153,22,0.023041475
J Asian Nat Prod Res,2014,16,144,21,0.022796353
J Asian Nat Prod Res,2015,10,154,15,0.021212121
J Asthma,1999,2,65,2,0.004237288
J Asthma,2000,4,69,5,0.011952191
J Asthma,2001,6,68,16,0.018115942
J Asthma,2003,4,113,5,0.01320132
J Asthma,2004,5,93,7,0.008522727
J Asthma,2005,6,122,11,0.005291005
J Asthma,2006,2,129,2,0.002320186
J Asthma,2008,6,154,6,0.006036217
J Asthma,2009,5,181,5,0.007168459
J Asthma,2011,3,153,6,0.004464286
J Asthma,2012,6,149,9,0.008683068
J Asthma,2013,4,152,6,0.005805515
J Asthma,2015,1,150,1,0.001612903
J Athl Train,2003,4,46,5,0.003496503
J Athl Train,2004,5,51,12,0.014492754
J Athl Train,2005,1,50,7,0.003773585
J Athl Train,2006,4,61,8,0.0078125
J Athl Train,2007,6,61,22,0.055793991
J Athl Train,2008,5,75,27,0.051383399
J Athl Train,2009,5,77,7,0.010676157
J Athl Train,2010,5,73,9,0.019417476
J Athl Train,2011,3,84,3,0.009259259
J Athl Train,2012,3,82,3,0.002923977
J Athl Train,2013,1,97,1,0.002906977
J Athl Train,2014,3,103,4,0.011111111
J Athl Train,2015,3,161,3,0.0078125
J Atten Disord,2010,2,67,6,0.00913242
J Atten Disord,2011,1,65,1,0.004065041
J Atten Disord,2014,1,71,1,0.003558719
J Autism Dev Disord,1999,8,41,9,0.008368201
J Autism Dev Disord,2000,8,60,30,0.012096774
J Autism Dev Disord,2001,11,50,13,0.01119403
J Autism Dev Disord,2003,11,62,44,0.007434944
J Autism Dev Disord,2004,8,58,14,0.003472222
J Autism Dev Disord,2005,11,65,25,0.025362319
J Autism Dev Disord,2006,11,86,42,0.051369863
J Autism Dev Disord,2007,12,168,29,0.023529412
J Autism Dev Disord,2008,11,192,25,0.031319911
J Autism Dev Disord,2009,13,160,19,0.011925043
J Autism Dev Disord,2010,7,139,27,0.017673049
J Autism Dev Disord,2011,11,155,19,0.016666667
J Autism Dev Disord,2012,10,258,11,0.00990099
J Autism Dev Disord,2013,3,264,4,0.003880983
J Autism Dev Disord,2014,6,280,8,0.004571429
J Autism Dev Disord,2015,4,345,11,0.006802721
J Autom Methods Manag Chem,2000,4,18,5,0.25
J Autom Methods Manag Chem,2002,2,14,2,0.02
J Autom Methods Manag Chem,2003,4,19,6,0.015151515
J Autom Methods Manag Chem,2008,1,13,1,0.023809524
J Autom Methods Manag Chem,2009,1,8,3,0.017857143
J Autom Methods Manag Chem,2011,4,14,8,0.1
J Auton Pharmacol,1999,3,45,3,0.010582011
J Auton Pharmacol,2001,3,32,3,0.011904762
J Back Musculoskelet Rehabil,2013,1,64,1,0.007352941
J Behav Health Serv Res,2000,1,36,1,0.01369863
J Behav Health Serv Res,2001,1,38,1,0.009090909
J Behav Med,2001,1,32,40,0.0625
J Behav Med,2002,1,33,6,0.021582734
J Behav Med,2008,3,44,19,0.042780749
J Behav Med,2010,1,47,1,0.005181347
J Behav Ther Exp Psychiatry,2011,1,70,2,0.004878049
J Bioact Compat Polym,2012,2,1,3,2
J Bioinform Comput Biol,2015,1,55,1,0.004255319
J Biol Eng,2014,11,18,21,0.195402299
J Biol Eng,2015,6,18,11,0.1
J Biol Phys,2000,2,21,2,0.016129032
J Biol Phys,2002,5,58,9,0.034482759
J Biol Phys,2003,9,35,14,0.04137931
J Biol Phys,2005,3,42,5,0.020134228
J Biol Phys,2006,3,38,6,0.01744186
J Biol Phys,2007,4,35,6,0.01986755
J Biol Phys,2008,5,39,10,0.02739726
J Biol Phys,2009,1,32,2,0.005847953
J Biol Phys,2012,2,47,5,0.020833333
J Biol Phys,2013,3,42,6,0.033783784
J Biol Phys,2015,2,27,4,0.025641026
J Biol Res (Thessalon),2015,2,12,7,0.272727273
J Biomater Appl,1999,6,8,14,0.047619048
J Biomater Appl,2001,8,14,29,0.153846154
J Biomater Appl,2002,4,17,8,0.01369863
J Biomater Appl,2003,8,14,61,0.376623377
J Biomater Appl,2004,5,18,16,0.095238095
J Biomater Appl,2005,5,14,13,0.022727273
J Biomater Appl,2006,8,16,12,0.070588235
J Biomater Appl,2007,12,16,27,0.090909091
J Biomater Appl,2008,11,19,19,0.14893617
J Biomater Appl,2009,6,29,14,0.04950495
J Biomater Appl,2010,8,30,12,0.050847458
J Biomater Appl,2011,13,35,17,0.060606061
J Biomater Appl,2012,20,55,27,0.098684211
J Biomater Appl,2013,15,88,20,0.050761421
J Biomater Appl,2014,17,121,20,0.071969697
J Biomater Appl,2015,6,104,6,0.010989011
J Biomater Sci Polym Ed,1999,36,56,167,0.153846154
J Biomater Sci Polym Ed,2000,44,49,174,0.153024911
J Biomater Sci Polym Ed,2001,46,43,238,0.298076923
J Biomater Sci Polym Ed,2002,40,48,178,0.085470085
J Biomater Sci Polym Ed,2003,38,58,154,0.084931507
J Biomater Sci Polym Ed,2004,52,50,152,0.16802168
J Biomater Sci Polym Ed,2005,38,66,85,0.09762533
J Biomater Sci Polym Ed,2006,28,56,132,0.131979695
J Biomater Sci Polym Ed,2007,26,73,80,0.084832905
J Biomater Sci Polym Ed,2008,34,73,113,0.12755102
J Biomater Sci Polym Ed,2009,28,105,45,0.048101266
J Biomater Sci Polym Ed,2010,17,106,32,0.047169811
J Biomater Sci Polym Ed,2011,29,125,52,0.058315335
J Biomater Sci Polym Ed,2012,19,126,33,0.042471042
J Biomater Sci Polym Ed,2013,16,128,20,0.021621622
J Biomater Sci Polym Ed,2014,16,119,17,0.026501767
J Biomater Sci Polym Ed,2015,9,89,10,0.013816926
J Biomech Eng,1999,20,69,201,0.180428135
J Biomech Eng,2000,27,68,111,0.057142857
J Biomech Eng,2001,17,67,143,0.081967213
J Biomech Eng,2002,27,70,156,0.036553525
J Biomech Eng,2003,26,86,160,0.027100271
J Biomech Eng,2004,19,86,150,0.022959184
J Biomech Eng,2005,32,113,93,0.099502488
J Biomech Eng,2006,14,105,32,0.021691974
J Biomech Eng,2007,16,94,61,0.043568465
J Biomech Eng,2008,15,116,25,0.016666667
J Biomech Eng,2009,41,183,107,0.095049505
J Biomech Eng,2010,13,171,41,0.040955631
J Biomech Eng,2011,14,147,25,0.02764977
J Biomech Eng,2012,10,115,14,0.0056899
J Biomech Eng,2013,8,157,16,0.021459227
J Biomech Eng,2014,6,173,8,0.009302326
J Biomech Eng,2015,4,151,4,0.00623053
J Biomech,1999,42,125,201,0.052259887
J Biomech,2000,49,167,152,0.041841004
J Biomech,2001,51,141,178,0.06284153
J Biomech,2002,30,146,162,0.021164021
J Biomech,2003,50,159,147,0.05163728
J Biomech,2004,62,157,175,0.025089606
J Biomech,2005,68,210,249,0.102625298
J Biomech,2006,67,275,196,0.065803668
J Biomech,2007,78,395,158,0.036798528
J Biomech,2008,83,391,196,0.048327138
J Biomech,2009,50,378,117,0.040599625
J Biomech,2010,66,415,142,0.037735849
J Biomech,2011,42,399,64,0.023354565
J Biomech,2012,39,411,73,0.02744887
J Biomech,2013,23,388,29,0.01309329
J Biomech,2014,25,517,25,0.011551155
J Biomech,2015,13,507,13,0.006386376
J Biomed Inform,2002,12,21,21,0.205882353
J Biomed Inform,2003,10,33,23,0.044117647
J Biomed Inform,2004,15,27,29,0.114035088
J Biomed Inform,2005,6,37,23,0.031847134
J Biomed Inform,2006,11,47,19,0.052941176
J Biomed Inform,2007,11,64,29,0.045918367
J Biomed Inform,2008,16,78,39,0.056521739
J Biomed Inform,2009,19,79,42,0.056537102
J Biomed Inform,2010,15,101,31,0.056379822
J Biomed Inform,2011,14,111,28,0.035443038
J Biomed Inform,2012,12,102,15,0.02247191
J Biomed Inform,2013,11,102,31,0.05387931
J Biomed Inform,2014,20,138,37,0.067085954
J Biomed Inform,2015,25,208,32,0.053742802
J Biomed Mater Res A,2004,144,169,945,0.739759036
J Biomed Mater Res A,2005,108,178,436,0.26510989
J Biomed Mater Res A,2006,162,230,563,0.226824458
J Biomed Mater Res A,2007,181,279,464,0.130774698
J Biomed Mater Res A,2008,190,290,568,0.17630854
J Biomed Mater Res A,2009,151,331,400,0.120913017
J Biomed Mater Res A,2010,182,430,382,0.104510451
J Biomed Mater Res A,2011,91,179,172,0.047572339
J Biomed Mater Res A,2012,79,305,155,0.062128579
J Biomed Mater Res A,2013,70,303,240,0.115165336
J Biomed Mater Res A,2014,71,396,93,0.04136253
J Biomed Mater Res A,2015,50,343,62,0.031375167
J Biomed Nanotechnol,2008,2,5,3,2
J Biomed Nanotechnol,2009,16,69,23,1.25
J Biomed Nanotechnol,2010,12,65,21,0.126315789
J Biomed Nanotechnol,2011,9,172,11,0.034682081
J Biomed Nanotechnol,2012,12,96,25,0.058988764
J Biomed Nanotechnol,2013,21,211,35,0.050218341
J Biomed Nanotechnol,2014,35,210,50,0.066445183
J Biomed Nanotechnol,2015,9,173,14,0.014248705
J Biomed Opt,2001,30,31,415,0.484018265
J Biomed Opt,2002,44,32,756,0.852173913
J Biomed Opt,2003,47,31,357,0.557768924
J Biomed Opt,2004,77,75,764,1.29739777
J Biomed Opt,2005,111,110,450,0.548648649
J Biomed Opt,2006,96,124,446,0.305400372
J Biomed Opt,2007,106,157,386,0.250716332
J Biomed Opt,2008,124,200,332,0.162344983
J Biomed Opt,2009,90,196,238,0.127699531
J Biomed Opt,2010,135,252,351,0.225194133
J Biomed Opt,2011,129,294,308,0.197037037
J Biomed Opt,2012,119,381,246,0.119845361
J Biomed Opt,2013,101,394,150,0.06795017
J Biomed Opt,2014,72,413,192,0.080530071
J Biomed Opt,2015,47,409,76,0.031387935
J Biomed Semantics,2014,2,56,4,0.02484472
J Biomol Screen,2000,24,19,300,2.19047619
J Biomol Screen,2001,28,10,162,0.576470588
J Biomol Screen,2002,30,24,337,0.612903226
J Biomol Screen,2003,47,20,229,0.359550562
J Biomol Screen,2004,41,27,219,0.39408867
J Biomol Screen,2005,37,45,165,0.245614035
J Biomol Screen,2006,61,40,189,0.276752768
J Biomol Screen,2007,54,53,160,0.257861635
J Biomol Screen,2008,43,50,161,0.248603352
J Biomol Screen,2009,42,73,150,0.143603133
J Biomol Screen,2010,40,90,99,0.146634615
J Biomol Screen,2011,46,81,98,0.116591928
J Biomol Screen,2012,43,88,74,0.096153846
J Biomol Screen,2013,26,101,40,0.049309665
J Biomol Screen,2014,36,102,83,0.123314066
J Biomol Screen,2015,24,99,49,0.08490566
J Biopharm Stat,2008,2,73,2,0.003690037
J Biopharm Stat,2009,3,70,5,0.003584229
J Biopharm Stat,2010,3,68,3,0.003521127
J Biopharm Stat,2012,1,78,19,0.00952381
J Biophotonics,2009,21,43,47,0.568181818
J Biophotonics,2010,21,55,41,0.1875
J Biophotonics,2011,14,61,20,0.076142132
J Biophotonics,2012,14,64,35,0.208333333
J Biophotonics,2013,17,64,25,0.078549849
J Biophotonics,2014,14,77,23,0.061971831
J Biophotonics,2015,18,80,18,0.04076087
J Bone Joint Surg Am,1999,30,139,114,0.017804154
J Bone Joint Surg Am,2000,23,155,72,0.010341262
J Bone Joint Surg Am,2001,47,233,168,0.05344296
J Bone Joint Surg Am,2002,46,277,155,0.020408163
J Bone Joint Surg Am,2003,64,336,281,0.051809211
J Bone Joint Surg Am,2004,42,355,131,0.022681788
J Bone Joint Surg Am,2005,58,346,347,0.064611737
J Bone Joint Surg Am,2006,56,383,165,0.035955056
J Bone Joint Surg Am,2007,42,371,188,0.04494382
J Bone Joint Surg Am,2008,37,385,144,0.033898305
J Bone Joint Surg Am,2009,44,445,173,0.047437296
J Bone Joint Surg Am,2010,32,403,62,0.022442589
J Bone Joint Surg Am,2011,13,474,21,0.007940709
J Bone Joint Surg Am,2012,17,467,24,0.006701031
J Bone Joint Surg Am,2013,15,467,17,0.005045409
J Bone Joint Surg Am,2014,11,474,16,0.00668037
J Bone Joint Surg Am,2015,4,336,4,0.002021223
J Bone Joint Surg Br,1999,19,173,77,0.012295082
J Bone Joint Surg Br,2000,30,193,106,0.017223911
J Bone Joint Surg Br,2001,24,193,91,0.019550342
J Bone Joint Surg Br,2002,24,192,79,0.01744186
J Bone Joint Surg Br,2003,18,201,85,0.023900574
J Bone Joint Surg Br,2004,26,181,96,0.026390198
J Bone Joint Surg Br,2005,27,290,59,0.01848249
J Bone Joint Surg Br,2006,28,276,58,0.016014235
J Bone Joint Surg Br,2007,28,277,61,0.012479201
J Bone Joint Surg Br,2008,18,268,29,0.011876485
J Bone Joint Surg Br,2009,11,270,42,0.013677812
J Bone Joint Surg Br,2010,8,286,13,0.006425703
J Bone Joint Surg Br,2011,6,280,22,0.011560694
J Bone Joint Surg Br,2012,13,299,23,0.015332198
J Bras Pneumol,2013,2,82,2,0.003490401
J Bras Pneumol,2014,2,72,2,0.003992016
J Bras Pneumol,2015,2,69,2,0.004338395
J Breast Cancer,2013,3,57,3,0.022222222
J Breast Cancer,2014,1,48,1,0.004901961
J Breast Cancer,2015,2,47,2,0.003802281
J Breath Res,2010,9,24,14,0.075471698
J Breath Res,2011,7,31,12,0.056338028
J Breath Res,2012,7,38,10,0.035502959
J Breath Res,2013,13,50,21,0.101910828
J Breath Res,2014,7,44,12,0.046632124
J Breath Res,2015,1,55,1,0.004739336
J BUON,2009,5,130,6,0.008219178
J BUON,2010,5,114,5,0.002293578
J BUON,2013,4,153,4,0.003478261
J BUON,2014,2,163,3,0.003305785
J BUON,2015,1,227,1,0.001519757
J Burn Care Rehabil,2000,12,67,33,0.033248082
J Burn Care Rehabil,2001,3,89,3,0.002610966
J Burn Care Rehabil,2002,9,48,31,0.008042895
J Burn Care Rehabil,2004,7,72,19,0.024691358
J Burn Care Rehabil,2005,7,69,13,0.009345794
J Burn Care Res,2007,10,141,21,0.04137931
J Burn Care Res,2008,6,154,14,0.022875817
J Burn Care Res,2009,6,165,12,0.006224066
J Burn Care Res,2010,7,118,13,0.008928571
J Burn Care Res,2011,3,110,3,0.004457652
J Burn Care Res,2012,5,137,5,0.003115265
J Burn Care Res,2013,6,131,6,0.0063593
J Burn Care Res,2014,5,129,6,0.01010101
J Burn Care Res,2015,4,119,5,0.006711409
J Cachexia Sarcopenia Muscle,2013,7,26,20,0.197368421
J Cachexia Sarcopenia Muscle,2014,7,37,11,0.04587156
J Cachexia Sarcopenia Muscle,2015,2,43,2,0.007142857
J Can Dent Assoc,2009,2,73,2,0.003225806
J Can Dent Assoc,2010,4,58,4,0.003095975
J Can Dent Assoc,2013,1,64,1,0.003344482
J Cancer Res Ther,2010,2,127,8,0.016260163
J Cancer Res Ther,2011,0,80,0,0.002881844
J Cancer Res Ther,2013,3,180,3,0.005736138
J Cancer Res Ther,2014,3,210,3,0.0046875
J Cancer Res Ther,2015,4,201,5,0.005076142
J Cancer,2013,18,65,26,0.14
J Cancer,2014,14,77,25,0.072961373
J Cancer,2015,13,150,24,0.068259386
J Card Surg,1999,13,67,158,0.04076087
J Card Surg,2000,6,55,18,0.008823529
J Card Surg,2001,7,68,33,0.035928144
J Card Surg,2003,9,91,25,0.012698413
J Card Surg,2004,7,104,52,0.03880597
J Card Surg,2005,6,136,17,0.020671835
J Card Surg,2006,4,145,8,0.004385965
J Card Surg,2007,0,132,0,0.001941748
J Card Surg,2008,5,193,11,0.005484461
J Card Surg,2009,5,193,5,0.001567398
J Card Surg,2010,4,199,13,0.011396011
J Card Surg,2012,2,196,4,0.001210654
J Card Surg,2013,1,198,1,0.001212121
J Card Surg,2015,4,194,30,0.016270338
J Cardiol,2010,4,102,8,0.007109005
J Cardiol,2011,6,79,6,0.004555809
J Cardiol,2012,7,127,13,0.019184652
J Cardiol,2013,1,126,1,0.004115226
J Cardiol,2015,4,151,5,0.009259259
J Cardiopulm Rehabil Prev,2010,1,48,1,0.00625
J Cardiothorac Surg,2008,4,58,6,0.01010101
J Cardiothorac Surg,2009,4,65,7,0.024539877
J Cardiothorac Surg,2010,8,121,22,0.047413793
J Cardiothorac Surg,2011,8,152,10,0.02507837
J Cardiothorac Surg,2012,4,121,7,0.011600928
J Cardiothorac Surg,2013,7,224,18,0.014112903
J Cardiothorac Surg,2014,5,185,5,0.007564297
J Cardiothorac Surg,2015,1,181,1,0.001385042
J Cardiovasc Comput Tomogr,2012,5,51,8,0.012618297
J Cardiovasc Comput Tomogr,2013,2,60,2,0.00660066
J Cardiovasc Comput Tomogr,2014,1,62,3,0.010830325
J Cardiovasc Magn Reson,2000,4,26,10,0.12
J Cardiovasc Magn Reson,2001,4,20,11,0.103448276
J Cardiovasc Magn Reson,2002,7,21,12,0.071428571
J Cardiovasc Magn Reson,2003,4,23,8,0.00862069
J Cardiovasc Magn Reson,2004,8,43,11,0.033613445
J Cardiovasc Magn Reson,2005,7,58,11,0.028776978
J Cardiovasc Magn Reson,2006,5,57,6,0.011049724
J Cardiovasc Magn Reson,2007,7,56,29,0.037558685
J Cardiovasc Magn Reson,2008,11,51,20,0.040160643
J Cardiovasc Magn Reson,2009,6,48,29,0.057915058
J Cardiovasc Magn Reson,2010,17,57,45,0.081300813
J Cardiovasc Magn Reson,2011,10,71,22,0.027131783
J Cardiovasc Magn Reson,2012,16,74,31,0.086330935
J Cardiovasc Magn Reson,2013,13,94,22,0.049019608
J Cardiovasc Magn Reson,2014,18,81,27,0.063888889
J Cardiovasc Magn Reson,2015,11,103,12,0.031088083
J Cardiovasc Med (Hagerstown),2009,2,195,2,0.001515152
J Cardiovasc Med (Hagerstown),2010,1,156,1,0.001149425
J Cardiovasc Med (Hagerstown),2011,1,164,2,0.001137656
J Cardiovasc Med (Hagerstown),2012,3,115,4,0.002267574
J Cardiovasc Med (Hagerstown),2013,2,127,7,0.005063291
J Cardiovasc Nurs,2008,1,72,1,0.003584229
J Cardiovasc Nurs,2009,1,68,3,0.003424658
J Cardiovasc Risk,2001,6,47,27,0.040178571
J Cardiovasc Risk,2002,4,47,12,0.013513514
J Cardiovasc Surg (Torino),1999,6,165,24,0.005102041
J Cardiovasc Surg (Torino),2000,2,165,6,0.00921659
J Cardiovasc Surg (Torino),2002,6,152,9,0.004310345
J Cardiovasc Surg (Torino),2003,2,113,6,0.002881844
J Cardiovasc Surg (Torino),2004,2,71,11,0.00927357
J Cardiovasc Surg (Torino),2005,3,72,17,0.012280702
J Cardiovasc Surg (Torino),2006,2,89,4,0.001992032
J Cardiovasc Surg (Torino),2007,4,98,8,0.011415525
J Cardiovasc Surg (Torino),2008,2,103,10,0.002358491
J Cardiovasc Surg (Torino),2009,3,89,5,0.009174312
J Cardiovasc Surg (Torino),2010,4,92,23,0.029147982
J Cardiovasc Surg (Torino),2011,2,101,5,0.002227171
J Cardiovasc Surg (Torino),2013,1,109,3,0.004264392
J Cardiovasc Transl Res,2010,20,60,42,0.227272727
J Cardiovasc Transl Res,2011,17,68,26,0.093023256
J Cardiovasc Transl Res,2012,11,73,61,0.141914191
J Cardiovasc Transl Res,2013,12,85,25,0.067073171
J Cardiovasc Transl Res,2014,4,82,11,0.025139665
J Cardiovasc Transl Res,2015,3,56,6,0.016620499
J Catal,2012,2,1,4,4
J Cataract Refract Surg,1999,41,244,164,0.029772329
