Institution Name,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor,NIH Funding,Institution Type
Roswell Park Cancer Institute,2012,38,176,87,0.042973287,34734432,Facility
Roswell Park Cancer Institute,2010,52,194,161,0.07646356,38405129,Facility
Roswell Park Cancer Institute,2006,62,159,208,0.097953216,41843194,Facility
Roswell Park Cancer Institute,2015,15,167,30,0.025142857,28371593,Facility
Roswell Park Cancer Institute,2001,44,107,227,0.077464789,27655817,Facility
Roswell Park Cancer Institute,2005,69,137,321,0.122416534,37982961,Facility
Rowan University,2015,4,47,8,0.075,696764,Education
Rowan University,2014,4,41,8,0.157894737,114956,Education
Rowan University,2013,1,23,2,0.043478261,603798,Education
RTI International,2013,8,119,23,0.013671875,66216192,Nonprofit
RTI International,2010,7,116,25,0.027210884,35460836,Nonprofit
RTI International,2014,7,144,37,0.023210832,42284458,Nonprofit
RTI International,2008,10,98,70,0.048913043,30710826,Nonprofit
RTI International,2002,11,32,105,0.046391753,19208531,Nonprofit
RTI International,2007,9,102,19,0.01980198,30022478,Nonprofit
RTI International,2001,8,47,174,0.189189189,17734981,Nonprofit
RTI International,2009,15,108,61,0.042079208,34742872,Nonprofit
RTI International,2005,12,74,44,0.050228311,48170288,Nonprofit
RTI International,2003,4,44,33,0.043010753,47541321,Nonprofit
RTI International,2015,9,148,27,0.034482759,52796023,Nonprofit
RTI International,2012,12,135,36,0.029598309,60778359,Nonprofit
RTI International,2011,8,109,26,0.025641026,44796065,Nonprofit
RTI International,2000,8,37,34,0.038251366,29717173,Nonprofit
RTI International,2004,15,56,63,0.067708333,40366138,Nonprofit
RTI International,2006,8,89,26,0.024,58527771,Nonprofit
Rush University Medical Center,2003,82,398,359,0.047592998,45947071,Healthcare
Rush University Medical Center,2006,66,377,386,0.057832678,37111398,Healthcare
Rush University Medical Center,2002,89,354,392,0.050139276,40785394,Healthcare
Rush University Medical Center,2010,45,418,157,0.02970297,39384165,Healthcare
Rush University Medical Center,2009,57,377,137,0.026932084,40508591,Healthcare
Rush University Medical Center,2001,74,357,472,0.042045455,37314015,Healthcare
Rush University Medical Center,2007,81,318,263,0.042553191,33045535,Healthcare
Rush University Medical Center,2005,67,361,252,0.036892119,44559595,Healthcare
Rush University Medical Center,2008,62,359,229,0.032201405,36239963,Healthcare
Rush University Medical Center,2000,86,404,665,0.055018138,33145966,Healthcare
Rush University Medical Center,2012,39,499,95,0.021690768,44289614,Healthcare
Rush University Medical Center,2004,68,359,246,0.029681597,40217219,Healthcare
Rush University Medical Center,2014,28,556,121,0.031173892,47969770,Healthcare
Rush University Medical Center,2013,32,519,65,0.024555904,45437027,Healthcare
Rush University Medical Center,2011,43,414,122,0.029867892,34428147,Healthcare
Rush University Medical Center,2015,17,614,21,0.009349955,41480486,Healthcare
"Rutgers, The State University of New Jersey",2009,231,1105,891,0.054854539,191414714,Education
"Rutgers, The State University of New Jersey",2013,119,1392,316,0.031206416,79568994,Education
"Rutgers, The State University of New Jersey",2002,262,972,1492,0.063312369,134545272,Education
"Rutgers, The State University of New Jersey",2007,259,1223,1204,0.058205931,189082134,Education
"Rutgers, The State University of New Jersey",2012,158,1332,405,0.041467305,171881683,Education
"Rutgers, The State University of New Jersey",2003,234,975,1378,0.050092764,187922611,Education
"Rutgers, The State University of New Jersey",2001,266,949,1854,0.069403301,126463192,Education
"Rutgers, The State University of New Jersey",2005,248,1102,1282,0.06033805,184175624,Education
"Rutgers, The State University of New Jersey",2015,59,1185,118,0.01880985,61664910,Education
"Rutgers, The State University of New Jersey",2004,284,1120,1686,0.069942904,176389592,Education
"Rutgers, The State University of New Jersey",2000,246,972,2046,0.093158348,122350208,Education
"Rutgers, The State University of New Jersey",2010,195,1184,748,0.062796001,173662144,Education
"Rutgers, The State University of New Jersey",2011,207,1256,566,0.045639483,168236887,Education
"Rutgers, The State University of New Jersey",2008,230,1164,991,0.052216576,177526271,Education
"Rutgers, The State University of New Jersey",2006,240,1195,923,0.051664753,176253632,Education
"Rutgers, The State University of New Jersey",2014,74,1111,151,0.020641047,69295285,Education
Sage Bionetworks,2012,1,1,2,0.25,2053438,Nonprofit
Saint Joseph Mercy Health System,2008,1,13,1,0.022727273,1837438,Healthcare
Saint Joseph Mercy Health System,2011,1,9,1,0.022222222,1472436,Healthcare
Saint Joseph Mercy Health System,2001,1,10,1,0.018181818,607263,Healthcare
Saint Louis University,2002,37,172,200,0.035359116,27334751,Education
Saint Louis University,2007,38,251,125,0.036448598,20976840,Education
Saint Louis University,2015,11,284,38,0.026591459,19234675,Education
Saint Louis University,2005,36,269,133,0.043112513,39910752,Education
Saint Louis University,2014,14,254,22,0.016168149,14346164,Education
Saint Louis University,2009,29,264,108,0.031168831,14012928,Education
Saint Louis University,2008,39,271,168,0.048715678,16732721,Education
Saint Louis University,2003,41,190,285,0.091108672,38017856,Education
Saint Louis University,2000,37,222,192,0.056417489,21324310,Education
Saint Louis University,2012,23,256,166,0.085504886,20713256,Education
Saint Louis University,2004,38,249,167,0.052060738,33361121,Education
Saint Louis University,2010,35,264,88,0.031386225,13246731,Education
Saint Louis University,2006,44,198,138,0.035679846,30921561,Education
Saint Louis University,2001,43,175,248,0.049338147,23722602,Education
Saint Louis University,2011,31,274,109,0.035625518,13688402,Education
Saint Louis University,2013,18,308,49,0.033500838,16231994,Education
Saint Luke's Health System,2006,3,7,10,0.027027027,314385,Healthcare
Saint Luke's Health System,2008,1,8,1,0.022727273,388246,Healthcare
Saint Luke's Health System,2015,0,9,0,0.032258065,697408,Healthcare
Saint Luke's Health System,2003,2,6,2,0.035714286,311081,Healthcare
Saint Luke's Health System,2007,1,9,42,0.214285714,324088,Healthcare
Saint Luke's Health System,2005,4,7,66,0.233333333,319168,Healthcare
Salk Institute for Biological Studies,2009,49,86,400,0.2046875,39469604,Nonprofit
Salk Institute for Biological Studies,2005,70,103,644,0.210155148,52654703,Nonprofit
Salk Institute for Biological Studies,2008,52,99,365,0.143079316,47221009,Nonprofit
Salk Institute for Biological Studies,2000,99,77,1367,0.339572193,41728905,Nonprofit
Salk Institute for Biological Studies,2012,37,113,82,0.085409253,49910553,Nonprofit
Salk Institute for Biological Studies,2001,74,110,1170,0.2,42051633,Nonprofit
Salk Institute for Biological Studies,2015,20,99,57,0.083333333,33857225,Nonprofit
Salk Institute for Biological Studies,2006,74,98,467,0.18794835,50029464,Nonprofit
Salk Institute for Biological Studies,2004,62,93,443,0.136798906,50160704,Nonprofit
Salk Institute for Biological Studies,2003,89,97,994,0.223544974,43773255,Nonprofit
Salk Institute for Biological Studies,2011,52,103,215,0.186813187,47011399,Nonprofit
Salk Institute for Biological Studies,2002,81,95,671,0.14340589,44798706,Nonprofit
Salk Institute for Biological Studies,2007,50,89,370,0.104196816,46536614,Nonprofit
Salk Institute for Biological Studies,2010,33,81,136,0.071310116,42688849,Nonprofit
Salk Institute for Biological Studies,2014,21,89,107,0.118584071,40510332,Nonprofit
Salk Institute for Biological Studies,2013,29,107,104,0.124777184,41115822,Nonprofit
Salus University,2010,2,16,2,0.222222222,958704,Education
Salus University,2011,2,15,3,0.035714286,956144,Education
Salus University,2009,5,3,10,5,1140612,Education
Sanford Burnham Prebys Medical Discovery Institute,2000,58,45,576,0.351906158,29955847,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2011,2,2,11,0.004347826,74168384,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2006,67,82,841,0.389105058,66235933,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2002,75,57,782,0.385365854,37830171,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2012,1,5,1,0.00660066,71510046,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2005,57,61,360,0.209072978,64679665,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2003,70,58,444,0.193832599,39862623,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2007,75,85,375,0.253283302,69603090,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2008,53,72,364,0.16254417,75518612,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2004,72,62,437,0.224789916,52981582,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2013,2,8,3,0.005494505,53588265,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2015,5,27,7,0.322580645,48784151,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2001,64,48,421,0.267352185,31198894,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2010,11,25,45,0.04,69347765,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2009,65,71,375,0.256272401,67549619,Nonprofit
Sanford Burnham Prebys Medical Discovery Institute,2014,1,9,1,0.017857143,59934324,Nonprofit
Santa Clara University,2006,4,12,7,0.076923077,202023,Education
Scripps Health,2014,8,84,29,0.047619048,186934,Healthcare
Scripps Health,2009,5,55,10,0.012048193,155250,Healthcare
Scripps Health,2013,4,60,6,0.024590164,551511,Healthcare
Scripps Health,2011,4,65,13,0.044715447,125170,Healthcare
Scripps Health,2012,2,50,26,0.015873016,382000,Healthcare
Scripps Health,2015,2,65,7,0.006849315,1104564,Healthcare
Scripps Health,2010,6,53,31,0.029288703,253251,Healthcare
Scripps Health,2006,5,48,7,0.018181818,247393,Healthcare
Scripps Health,2007,6,57,18,0.013333333,187954,Healthcare
Scripps Research Institute,2007,263,341,1857,0.188521475,199727951,Nonprofit
Scripps Research Institute,2012,200,402,1179,0.250105977,244639724,Nonprofit
Scripps Research Institute,2002,335,362,5162,0.270128824,188970432,Nonprofit
Scripps Research Institute,2015,104,401,288,0.096145518,204169599,Nonprofit
Scripps Research Institute,2011,216,374,1264,0.217391304,223731761,Nonprofit
Scripps Research Institute,2004,331,373,3568,0.232952451,222580188,Nonprofit
Scripps Research Institute,2006,272,347,2653,0.217953454,216197138,Nonprofit
Scripps Research Institute,2003,311,330,4246,0.258015843,205964964,Nonprofit
Scripps Research Institute,2013,178,365,1162,0.260285474,228386222,Nonprofit
Scripps Research Institute,2005,277,363,2670,0.200218023,214544101,Nonprofit
Scripps Research Institute,2010,220,356,1874,0.298303682,212944594,Nonprofit
Scripps Research Institute,2008,240,337,1927,0.195904173,207619590,Nonprofit
Scripps Research Institute,2001,306,370,3922,0.273193673,158859911,Nonprofit
Scripps Research Institute,2000,337,331,3200,0.278256922,138511956,Nonprofit
Scripps Research Institute,2009,240,355,2490,0.318292683,209312035,Nonprofit
Scripps Research Institute,2014,153,382,755,0.202656384,218443949,Nonprofit
Seattle Children's Hospital,2009,2,29,3,0.037037037,23600104,Healthcare
Seattle Children's Hospital,2008,1,16,2,0.083333333,22704592,Healthcare
Seattle Children's Hospital,2007,3,7,3,1,15187100,Healthcare
Seattle Children's Hospital,2010,3,62,10,0.033898305,26494980,Healthcare
Seattle Children's Hospital,2012,1,88,2,0.011560694,33334078,Healthcare
Seton Hall University,2013,2,40,2,0.006711409,549702,Education
Seton Hall University,2014,4,42,6,0.032258065,1012831,Education
Seton Hall University,2012,1,37,5,0.020689655,633954,Education
Seton Hall University,2015,1,43,1,0.005681818,336134,Education
Seton Hall University,2006,4,33,7,0.032786885,625651,Education
Seton Hall University,2010,0,31,0,0.006896552,890844,Education
Seton Hall University,2004,2,31,25,0.02247191,639781,Education
Seton Hall University,2000,3,13,7,0.037037037,657267,Education
Smith-Kettlewell Eye Research Institute,2013,1,6,22,0.421052632,2387278,Nonprofit
Smith-Kettlewell Eye Research Institute,2011,2,9,6,0.046875,3110265,Nonprofit
Smith-Kettlewell Eye Research Institute,2010,2,13,3,0.028985507,4367236,Nonprofit
Smith-Kettlewell Eye Research Institute,2006,1,19,1,0.011494253,6893909,Nonprofit
Smith College,2013,1,14,4,0.011627907,440681,Education
Smith College,2010,2,20,2,0.023529412,205448,Education
Smith College,2008,2,24,2,0.012987013,587310,Education
Smith College,2007,1,18,3,0.015151515,684222,Education
Smith College,2001,1,20,4,0.06,201590,Education
Smith College,2006,3,19,6,0.016949153,719799,Education
Smith College,2000,1,9,1,0.020833333,191976,Education
Smith College,2012,2,20,2,0.022222222,187632,Education
Smithsonian Institution,2010,1,79,1,0.003484321,1166394,Government
Smithsonian Institution,2001,2,49,9,0.034013605,1167776,Government
Smithsonian Institution,2009,1,80,1,0.003649635,1028358,Government
Smithsonian Institution,2008,6,68,26,0.023076923,837857,Government
Smithsonian Institution,2006,4,74,5,0.00462963,1682729,Government
Smithsonian Institution,2005,2,67,10,0.005050505,1559711,Government
Smithsonian Institution,2004,3,57,3,0.01025641,1745617,Government
Smithsonian Institution,2000,7,50,24,0.085470085,850671,Government
Smithsonian Institution,2013,4,142,13,0.035,592534,Government
Smithsonian Institution,2012,7,115,11,0.017045455,998396,Government
Smithsonian Institution,2011,2,112,2,0.006920415,1187312,Government
South Dakota State University,2013,10,100,20,0.038167939,676007,Education
South Dakota State University,2014,9,76,13,0.02189781,1082704,Education
South Dakota State University,2010,19,77,69,0.090322581,1349515,Education
South Dakota State University,2008,7,80,26,0.012,1093242,Education
South Dakota State University,2009,10,80,33,0.035335689,992468,Education
South Dakota State University,2000,9,31,37,0.119402985,734910,Education
South Dakota State University,2003,6,39,23,0.018292683,605022,Education
South Dakota State University,2007,7,55,18,0.00862069,428250,Education
South Dakota State University,2002,10,37,29,0.034246575,329791,Education
South Dakota State University,2012,17,110,38,0.056657224,2556378,Education
South Dakota State University,2001,9,32,28,0.021126761,487283,Education
South Dakota State University,2004,10,44,78,0.150289017,660290,Education
South Dakota State University,2006,10,57,84,0.033175355,1857082,Education
South Dakota State University,2005,7,58,14,0.016042781,271700,Education
South Dakota State University,2015,2,101,2,0.012562814,1282558,Education
South Dakota State University,2011,1,71,4,0.008797654,1582319,Education
Southern Illinois University System,2007,29,250,202,0.077906977,7070044,Education
Southern Illinois University System,2009,26,240,87,0.039721946,11048869,Education
Southern Illinois University System,2004,13,169,52,0.022880215,6936696,Education
Southern Illinois University System,2001,18,154,110,0.013677812,4361664,Education
Southern Illinois University System,2010,25,261,84,0.026794258,10355308,Education
Southern Illinois University System,2015,6,229,15,0.008348794,7637255,Education
Southern Illinois University System,2014,9,206,18,0.007880911,5451264,Education
Southern Illinois University System,2012,21,271,80,0.03597786,9886558,Education
Southern Illinois University System,2011,19,256,55,0.028571429,10645179,Education
Southern Illinois University System,2013,13,263,25,0.013286094,7434327,Education
Southern Illinois University System,2008,30,216,130,0.047619048,8276869,Education
Southern Illinois University System,2002,28,164,102,0.024926686,5727123,Education
Southern Illinois University System,2006,31,216,123,0.05707196,6819100,Education
Southern Illinois University System,2000,25,155,87,0.023364486,3530539,Education
Southern Illinois University System,2003,20,175,63,0.027137042,5023318,Education
Southern Illinois University System,2005,32,198,181,0.080106809,7748759,Education
Southern Methodist University,2007,4,20,28,0.019230769,1052918,Education
Southern Methodist University,2010,2,34,2,0.006493506,1882688,Education
Southern Methodist University,2004,4,15,19,0.06122449,1847987,Education
Southern Methodist University,2008,11,34,31,0.056603774,1235296,Education
Southern Methodist University,2014,1,46,5,0.017647059,1924122,Education
Southern Methodist University,2002,1,25,9,0.010309278,1304010,Education
Southern Methodist University,2000,6,25,31,0.072164948,1186213,Education
Southern Methodist University,2015,0,50,0,0.005555556,1712071,Education
Southern Methodist University,2011,8,31,22,0.067567568,2536820,Education
Southern Methodist University,2013,4,43,22,0.054878049,1274997,Education
Southern Methodist University,2005,1,19,40,0.034883721,2533015,Education
Southern Methodist University,2012,3,44,7,0.030674847,1518188,Education
Southern Methodist University,2009,6,35,12,0.022556391,1688969,Education
Southern Methodist University,2006,6,37,19,0.08045977,2170131,Education
Southern Methodist University,2003,1,21,12,0.058252427,1719938,Education
Southern Methodist University,2001,5,14,15,0.071428571,1089117,Education
Southern Research Institute,2014,5,7,7,0.122807018,9849276,Nonprofit
Southern Research Institute,2002,7,5,37,0.121621622,6744948,Nonprofit
Southern Research Institute,2007,8,6,39,0.222222222,7591522,Nonprofit
Southern Research Institute,2004,8,6,37,0.152542373,40369437,Nonprofit
Southern Research Institute,2008,8,3,46,0.314814815,7082414,Nonprofit
Southern Research Institute,2009,10,11,64,0.411764706,7857858,Nonprofit
Southern Research Institute,2010,2,6,3,0.017241379,6543964,Nonprofit
Southern Research Institute,2003,8,6,59,0.117647059,27192297,Nonprofit
Southern Research Institute,2006,7,5,78,0.5,23132464,Nonprofit
Southern Research Institute,2012,3,16,15,0.087719298,9504173,Nonprofit
Southern Research Institute,2005,6,8,13,0.036363636,32831100,Nonprofit
Southern Research Institute,2001,9,6,76,0.17721519,6634974,Nonprofit
Southern Research Institute,2011,5,12,11,0.12962963,5211659,Nonprofit
Southern Research Institute,2000,7,11,15,0.051948052,13329905,Nonprofit
Southwest Research Institute,2015,3,19,4,0.069767442,2148848,Nonprofit
Southwest Research Institute,2002,2,11,20,0.444444444,166500,Nonprofit
Southwest Research Institute,2014,4,13,7,0.166666667,520743,Nonprofit
Southwest Research Institute,2013,3,6,7,0.058823529,1487931,Nonprofit
Southwest Research Institute,2008,1,9,13,0.1,530797,Nonprofit
Southwest Research Institute,2007,2,11,2,0.086956522,615393,Nonprofit
Southwest Research Institute,2009,2,5,9,0.1,259851,Nonprofit
Spartanburg Regional Medical Center,2008,1,2,2,0.071428571,1880470,Healthcare
Spelman College,2007,1,4,3,0.1,2308123,Education
Spelman College,2008,1,4,6,0.090909091,980630,Education
SRI International,2014,7,47,19,0.027149321,22052207,Nonprofit
SRI International,2009,13,35,49,0.092715232,14765097,Nonprofit
SRI International,2003,5,17,18,0.042372881,23875369,Nonprofit
SRI International,2010,11,32,35,0.097402597,11937473,Nonprofit
SRI International,2013,10,51,24,0.076923077,42623685,Nonprofit
SRI International,2005,12,33,96,0.188034188,25449749,Nonprofit
SRI International,2001,7,26,61,0.177570093,6674929,Nonprofit
SRI International,2007,10,22,41,0.063380282,12782632,Nonprofit
SRI International,2002,6,21,26,0.098214286,8330164,Nonprofit
SRI International,2012,9,50,22,0.087431694,48683554,Nonprofit
SRI International,2008,7,27,62,0.052631579,12195620,Nonprofit
SRI International,2006,8,31,47,0.23255814,42423046,Nonprofit
SRI International,2004,6,29,25,0.033333333,28212340,Nonprofit
SRI International,2011,11,47,26,0.095541401,10924765,Nonprofit
SRI International,2015,5,48,14,0.021551724,41393921,Nonprofit
SRI International,2000,15,23,307,0.514563107,15381071,Nonprofit
St. John's University,2002,10,28,35,0.024793388,400000,Education
St. John's University,2013,2,52,14,0.038888889,921222,Education
St. John's University,2008,10,39,48,0.076923077,696324,Education
St. John's University,2000,6,25,36,0.047619048,599581,Education
St. John's University,2005,7,30,13,0.01459854,1288918,Education
St. John's University,2007,6,37,28,0.066666667,803474,Education
St. John's University,2012,7,45,29,0.073446328,495000,Education
St. John's University,2004,12,26,74,0.178294574,1646624,Education
St. John's University,2009,4,44,9,0.017964072,196200,Education
St. John's University,2015,2,52,4,0.014084507,519750,Education
St. John's University,2014,8,53,24,0.07027027,591690,Education
St. John's University,2006,8,29,13,0.033112583,1848050,Education
St. John's University,2003,7,30,21,0.056451613,1573033,Education
St. John's University,2001,2,21,4,0.007575758,1258318,Education
St. John's University,2010,9,26,26,0.022222222,490500,Education
St. Luke's-Roosevelt Hospital Center,2012,2,52,2,0.005681818,10788502,Healthcare
St. Luke's-Roosevelt Hospital Center,2004,7,54,35,0.009478673,12555418,Healthcare
St. Luke's-Roosevelt Hospital Center,2013,1,48,1,0.005813953,6961261,Healthcare
St. Luke's-Roosevelt Hospital Center,2007,5,45,14,0.004081633,10459333,Healthcare
St. Luke's-Roosevelt Hospital Center,2009,4,28,15,0.026548673,10033562,Healthcare
St. Luke's-Roosevelt Hospital Center,2000,8,38,20,0.024793388,14908152,Healthcare
St. Luke's-Roosevelt Hospital Center,2005,10,51,25,0.031111111,12694071,Healthcare
St. Luke's-Roosevelt Hospital Center,2011,2,43,7,0.005494505,10498623,Healthcare
St. Luke's-Roosevelt Hospital Center,2002,4,42,8,0.006451613,13734012,Healthcare
St. Luke's-Roosevelt Hospital Center,2010,2,38,6,0.005076142,8834347,Healthcare
St. Luke's-Roosevelt Hospital Center,2008,2,55,93,0.048034934,7910814,Healthcare
St. Luke's-Roosevelt Hospital Center,2001,6,45,31,0.038167939,15190154,Healthcare
St. Luke's-Roosevelt Hospital Center,2006,2,54,9,0.012765957,13393727,Healthcare
St. Luke's-Roosevelt Hospital Center,2003,14,53,56,0.053892216,12789609,Healthcare
St. Luke's-Roosevelt Hospital Center,2014,3,33,4,0.020942408,7886977,Healthcare
Stanford University,2004,569,1402,4816,0.132377506,301733744,Education
Stanford University,2002,530,1253,5302,0.151388889,241711502,Education
Stanford University,2010,585,1958,4073,0.179874077,339893354,Education
Stanford University,2005,568,1556,4873,0.136393879,305561055,Education
Stanford University,2000,501,1148,5867,0.180183296,208154454,Education
Stanford University,2009,586,1790,4539,0.167579653,306735227,Education
Stanford University,2006,546,1596,3973,0.122219381,315818379,Education
Stanford University,2015,281,2847,1025,0.07178345,422361283,Education
Stanford University,2011,619,2085,3853,0.18922853,332383758,Education
Stanford University,2001,526,1288,5490,0.156498674,219910731,Education
Stanford University,2013,423,2469,2039,0.107776519,357812990,Education
Stanford University,2012,518,2330,2657,0.143594836,341779455,Education
Stanford University,2007,609,1661,4995,0.166972477,304732407,Education
Stanford University,2003,562,1314,5025,0.146699622,271769664,Education
Stanford University,2008,560,1776,4304,0.1470897,287647511,Education
Stanford University,2014,353,2461,1317,0.081864543,384972805,Education
State University of New York,2006,308,1722,1376,0.05065538,158158294,Education
State University of New York,2004,323,1613,1515,0.047355384,187481713,Education
State University of New York,2015,99,2156,169,0.017072897,153598718,Education
State University of New York,2002,274,1374,1239,0.036949801,161474427,Education
State University of New York,2005,307,1667,1323,0.047511312,177184066,Education
State University of New York,2014,114,2051,263,0.021463637,142020056,Education
State University of New York,2007,290,1739,1226,0.048812151,159585979,Education
State University of New York,2008,285,1733,977,0.034120735,163548305,Education
State University of New York,2011,196,1945,516,0.027741241,161618667,Education
State University of New York,2009,234,1856,815,0.039278656,163482957,Education
State University of New York,2000,278,1449,1536,0.040114613,134017060,Education
State University of New York,2003,318,1419,1959,0.049411765,181553042,Education
State University of New York,2010,233,1913,858,0.03935382,171031300,Education
State University of New York,2013,146,1965,314,0.024575103,151005554,Education
State University of New York,2001,266,1454,1136,0.029937444,154438581,Education
State University of New York,2012,211,2020,487,0.028760019,171672237,Education
State University System of Florida,2005,491,2122,2726,0.066630611,210704862,Education
State University System of Florida,2015,209,3739,413,0.02405726,279780112,Education
State University System of Florida,2006,491,2362,2420,0.067121613,191686109,Education
State University System of Florida,2001,399,1641,2818,0.081237113,136989398,Education
State University System of Florida,2010,467,2798,1472,0.054054054,186904893,Education
State University System of Florida,2003,414,1924,2412,0.06233862,171222183,Education
State University System of Florida,2011,449,3108,1667,0.064004376,241432147,Education
State University System of Florida,2000,385,1647,2703,0.073333333,117937883,Education
State University System of Florida,2007,500,2533,2491,0.068070378,211395629,Education
State University System of Florida,2014,250,3399,517,0.026648257,242006210,Education
State University System of Florida,2008,534,2614,2557,0.083723864,232090708,Education
State University System of Florida,2009,463,2787,1952,0.066313451,225174548,Education
State University System of Florida,2002,443,1822,3021,0.080293886,156280681,Education
State University System of Florida,2013,342,3354,819,0.03561977,207092570,Education
State University System of Florida,2012,401,3354,1407,0.051307018,253001388,Education
State University System of Florida,2004,499,2061,3325,0.090210031,186342463,Education
Stevens Institute of Technology,2011,13,36,43,0.098684211,423840,Education
Stevens Institute of Technology,2005,8,14,31,0.264705882,246500,Education
Stevens Institute of Technology,2009,12,28,27,0.140495868,253375,Education
Stevens Institute of Technology,2004,5,5,7,0.03125,246500,Education
Stevens Institute of Technology,2006,6,23,19,0.104166667,240707,Education
Stevens Institute of Technology,2015,5,35,6,0.041916168,974984,Education
Stevens Institute of Technology,2002,4,4,16,0.068965517,108139,Education
Stevens Institute of Technology,2010,11,31,31,0.086330935,285368,Education
Stevens Institute of Technology,2007,4,27,10,0.028985507,435300,Education
Stevens Institute of Technology,2013,4,28,6,0.032608696,1076586,Education
Stevens Institute of Technology,2014,5,27,10,0.034090909,1271678,Education
Stowers Institute for Medical Research,2014,7,61,15,0.057251908,4977802,Nonprofit
Stowers Institute for Medical Research,2010,18,48,30,0.050228311,4408787,Nonprofit
Stowers Institute for Medical Research,2007,7,43,23,0.050561798,4055353,Nonprofit
Stowers Institute for Medical Research,2005,16,39,60,0.091836735,3062279,Nonprofit
Stowers Institute for Medical Research,2008,16,45,57,0.082474227,7299111,Nonprofit
Stowers Institute for Medical Research,2009,7,48,12,0.031818182,4154415,Nonprofit
Stowers Institute for Medical Research,2001,4,6,9,0.166666667,1087769,Nonprofit
Stowers Institute for Medical Research,2011,11,49,24,0.042372881,5002061,Nonprofit
Stowers Institute for Medical Research,2004,11,25,42,0.203125,1919130,Nonprofit
Stowers Institute for Medical Research,2013,6,61,38,0.067729084,4315128,Nonprofit
Stowers Institute for Medical Research,2006,16,34,95,0.2,3107080,Nonprofit
Stowers Institute for Medical Research,2015,4,56,7,0.015209125,3338105,Nonprofit
Stowers Institute for Medical Research,2002,5,12,25,0.315789474,1105170,Nonprofit
Stowers Institute for Medical Research,2012,10,56,26,0.052631579,5486524,Nonprofit
Stowers Institute for Medical Research,2003,8,24,66,0.451612903,2011358,Nonprofit
Summa Health System,2011,1,24,1,0.0125,489348,Healthcare
Summa Health System,2012,2,20,6,0.076923077,482721,Healthcare
Summa Health System,2004,4,11,15,0.013888889,376872,Healthcare
Sutter Health,2014,6,75,6,0.035714286,7203316,Healthcare
Sutter Health,2000,13,38,122,0.084805654,3394050,Healthcare
Sutter Health,2015,2,64,2,0.005221932,7748902,Healthcare
Sutter Health,2005,9,57,40,0.042471042,13146154,Healthcare
Sutter Health,2007,12,75,74,0.050909091,15449257,Healthcare
Sutter Health,2009,9,72,30,0.051515152,11881106,Healthcare
Sutter Health,2011,13,99,30,0.028720627,8314147,Healthcare
Sutter Health,2006,11,63,55,0.057034221,16020917,Healthcare
Sutter Health,2010,7,99,17,0.014367816,9999429,Healthcare
Sutter Health,2002,9,53,24,0.049808429,2608153,Healthcare
Sutter Health,2003,8,49,22,0.023715415,3067119,Healthcare
Sutter Health,2008,8,91,27,0.029411765,16517411,Healthcare
Sutter Health,2001,9,53,26,0.011406844,2643799,Healthcare
Sutter Health,2004,11,65,40,0.051282051,11582335,Healthcare
Sutter Health,2012,7,77,36,0.03163017,9222355,Healthcare
Sutter Health,2013,7,72,12,0.015189873,10012814,Healthcare
Swarthmore College,2014,2,12,5,0.068965517,820815,Education
Swarthmore College,2011,1,14,10,0.137254902,308849,Education
Swarthmore College,2013,1,9,10,0.109375,349200,Education
Swarthmore College,2008,1,10,1,0.02,399057,Education
Swarthmore College,2005,2,12,12,0.087719298,195000,Education
Syracuse University,2003,6,99,57,0.013888889,6663731,Education
Syracuse University,2007,9,122,50,0.034562212,6114447,Education
Syracuse University,2000,9,92,122,0.141700405,4992467,Education
Syracuse University,2009,22,102,65,0.049180328,4068179,Education
Syracuse University,2015,7,130,10,0.016949153,4625441,Education
Syracuse University,2010,11,122,23,0.01980198,3047915,Education
Syracuse University,2001,4,87,7,0.010344828,6556972,Education
Syracuse University,2011,13,112,31,0.029354207,3504041,Education
Syracuse University,2008,9,114,82,0.050108932,3822122,Education
Syracuse University,2004,7,87,34,0.017721519,7162318,Education
Syracuse University,2002,7,89,65,0.036923077,6030925,Education
Syracuse University,2014,8,109,28,0.047619048,3881902,Education
Syracuse University,2005,14,93,67,0.030927835,6687980,Education
Syracuse University,2013,4,104,29,0.036144578,3265345,Education
Syracuse University,2012,7,108,11,0.015841584,2259353,Education
Syracuse University,2006,12,115,28,0.017369727,6287453,Education
